date,price,change,change_percent,open,high,low,volume,hold,source,unit,exchange,contract
2026-07-02,101920.0,-1370.0,-1.33,102870.0,103420.0,101780.0,84616,154212,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-03,102980.0,1030.0,1.01,102470.0,103240.0,102280.0,80011,152135,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-06,102960.0,-20.0,-0.02,102710.0,103560.0,102700.0,60586,151621,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-07,102970.0,10.0,0.01,102630.0,103270.0,102600.0,58519,148515,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-08,102850.0,-120.0,-0.12,103080.0,103500.0,102720.0,67529,149665,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-09,103160.0,310.0,0.3,101890.0,103210.0,101640.0,90906,153942,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-10,103710.0,550.0,0.53,103750.0,104250.0,103410.0,82888,149334,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-13,103060.0,-650.0,-0.63,103500.0,104230.0,102800.0,52760,165332,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-14,104340.0,1280.0,1.24,103890.0,104550.0,103570.0,74063,177778,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-16,104350.0,210.0,0.2,104570.0,104620.0,103840.0,49016,185475,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
2026-07-17,103370.0,-980.0,-0.94,104080.0,104450.0,103200.0,69929,180123,akshare_shfe,元/吨,上海期货交易所,铜主力连续(CU0)
